title,author,press_time,money,rating_num,rating_people,short_produce
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 , 2015-6-1 , CNY 20.00,9.1,10967人评价,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
从一到无穷大,[美] G. 伽莫夫 , 2002-11 , 29.00元,9.1,10417人评价,科学中的事实和臆测
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 , 2009-3-1 , 25.00元,8.5,127753人评价,你自己就是最大的宝藏
青铜时代,王小波 , 1997-5 , 29.00元,8.7,21153人评价,唐人传奇贯注现代情趣
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 2013-6 , 25.00元,8.7,25329人评价,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
强风吹拂,三浦紫苑 , 2015-1-1 , 39.00元,9,12701人评价,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
圣经,中国基督教协会 ,中国基督教协会 ,1996,9,16656人评价,上帝说，要有光
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 , 2015-10-1 , 328.00元,9.5,6282人评价,阿西莫夫经典科幻小说
黑客与画家,[美] Paul Graham , 2011-4 , 49.00元,8.7,19213人评价,硅谷创业之父Paul Graham文集
巨流河,齐邦媛 , 2010-10 , 39.00元,8.7,26223人评价,两代人从巨流河到哑口海的故事
额尔古纳河右岸,迟子建 , 2005-12-1 , 29.00元,9,14390人评价,东北少数民族鄂温克人生存现状及百年沧桑
繁花,金宇澄 , 2013-3 , 48.00元,8.7,21800人评价,海上繁花，请静观静读
众病之王,[美] 悉达多·穆克吉 , 2013-2-4 , 42.00元,9.1,8885人评价,癌症传
火星救援,[美] 安迪·威尔 , 2015-10 ,38,8.9,13243人评价,跟火星来一场不是你死就是我活的过家家游戏
中国哲学简史,冯友兰 , 2004-1 , 38.00元,8.9,16059人评价,中国哲学入门书
你一生的故事,[美] 特德·姜 , 2015-5 , 36.00元,8.7,23699人评价,特德·姜科幻小说集
论语,中华书局 , 2006-12 , 9.80元,9.1,14657人评价,仁远乎哉？我欲仁，斯仁至矣
象棋的故事,[奥] 斯台芬·茨威格 , 2007-7 , 23.00元,9.1,9256人评价,纳粹法西斯对人心灵的折磨及摧残
庄子,孙通海 译注 , 2007-04 , 20.00元,9.4,8214人评价,野马也，尘埃也，生物之以息相吹也
金锁记,张爱玲 , 2005-6 , 13.5元,8.6,51261人评价,一个小商人家庭出身的女子曹七巧的心灵变迁历程
恶意,[日] 东野圭吾 , 2009-6 ,18,8.4,204230人评价,将手记体叙事的无限可能发挥得淋漓尽致
当呼吸化为空气,[美] 保罗·卡拉尼什 , 2016-12 , 48.00元,8.8,17639人评价,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
张爱玲文集,张爱玲 , 安徽文艺出版社 , 45元,8.9,13301人评价,空
简爱（英文全本）,[英] 夏洛蒂·勃朗特 , 2003-11 , 18.00元,8.5,190564人评价,灰姑娘在十九世纪
设计中的设计,[日] 原研哉 , 2006-11 , 48.00元,8.6,30337人评价,日常生活的无限可能性
佐贺的超级阿嬷,[日] 岛田洋七 , 2007-3 , 20.00元,8.7,19564人评价,乐观的外婆却总有神奇的办法
荒原狼,[德]赫尔曼·黑塞 , 2008-7 ,13,9,11737人评价,“超现实主义”风格作品，德国的《尤利西斯》
夏洛的网,[美] E.B.怀特 , 2004-5 , 17.00元,8.6,54662人评价,一个蜘蛛和小猪的故事，写给孩子，也写给大人
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 , 2012-11 , 36.00元,9,9161人评价,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
步履不停,[日] 是枝裕和 , 2017-5 , 36.80元,8.7,27658人评价,人生路上，步履不停，总有那么一点来不及
世界的凛冬,[英] 肯·福莱特 , 2017-3-1 , 132.00（全三册）,8.8,20828人评价,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长
稻草人手记,三毛 , 2009-3 , 18.00元,8.9,15659人评价,三毛在加纳利群岛上的生活
二手时间,[白俄] S. A. 阿列克谢耶维奇 , 2016-1 , 55.00元,8.8,15137人评价,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
世界尽头与冷酷仙境,[日] 村上春树 , 2002-12 , 23.00元,8.6,38224人评价,交叉平行蒙太奇
人类的群星闪耀时,[奥] 斯蒂芬·茨威格 , 2004-8 , 18.00元,8.7,22595人评价,十四个影响人类文明的瞬间
狂热分子,[美] 埃里克·霍弗 , 2011-6 , 34.00元,8.9,10929人评价,探讨群众运动的共有特征
影响力,[美] 罗伯特·西奥迪尼 , 2006-5 , 45.00元,8.6,41356人评价,营销防骗指南
牡丹亭,汤显祖 , 1963-4-1 , 14.50元,9,10229人评价,不到园林，怎知春色如许
